Name,Type,Description,Reference,Datatype,Constraints,Component,Cardinality
Birth,Activity,The birth of the patient.,,,,,
Age,Fact,The current age of the patient.,,Integer,,,
Gender,Fact,The gender of the patient.,,String,"['Male','Female','Unknown']",,
LookupMedsFromLHCR,Activity,,,,,,
GPRefersToHospital,Activity,,,,,,
GPvisit,Activity,,,,,,
ArriveHospital,Activity,,,,,,
MedsReconcile,Activity,,,,,,
MedsPrescribe,Activity,,,,,,
MedsReconcileForDigcharge,Activity,,,,,,
SendDischarge2GP,Activity,,,,,,
Discharge,Acivity,,,,,,
GPMedsReconcile,Activity,,,,,,
PersonID,Fact,,,integer,,,
Symptom,Fact,,,,,,
Finish,Activity,,,,,,
Start,Activity,,,,,,
patient_assessment,Activity,,,,,,
test_request,Activity,,,,,,
Specimen_check,Activity ,,,,,,
lab_test,Activity,,,,,,
test_report,Activity,,,,,,
send_report,Activity,,,,,,
receive_report,Activity,,,,,,
inform_patient,Activity,,,,,,
Receive_results,Activity,,,,,,
Report.UUID,Fact,,,,,,
Report.Code,Fact,,,,,,
Report.DisplayName,Fact,,,,,,
Request.UUID,Fact,,,,,,
Request.Code,Fact,,,,,,
Request.DisplayName,Fact,,,,,,
Specimen.UUID,Fact,,,,,,
Specimen.Code,Fact,,,,,,
Specimen.DisplayName,Fact,,,,,,
Observation.Value,Fact,,,,,,
Observation.Unit,Fact,,,,,,
Observation.ReferenceLow,Fact,,,,,,
Observation.ReferenceHigh,Fact,,,,,,
Observation.ReportId,Fact,,,,,,
Observation.SpecimenId,Fact,,,,,,
Observation.PatientId,Fact,,,,,,
Observation.RequestId,Fact,,,,,,
Observation.PractitionerId,Fact,,,,,,
Observation.OrgId,Fact,,,,,,
OrgRequesting.UUID,Fact,,,,,,
OrgRequesting.Code,Fact,,,,,,
OrgRequesting.DisplayName,Fact,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
OrgCollecting.UUID,Fact,,,,,,
OrgCollecting.Code,Fact,,,,,,
OrgCollecting.DisplayName,,,,,,,
OrgAddressLine,Fact,,,,,,
OrgAddressCity,Fact,,,,,,
OrgAddressDistrict,Fact,,,,,,
Org.AddressPostalCode,Fact,,,,,,
OrgPerforming.UUID,,,,,,,
OrgPerforming.Code,,,,,,,
OrgPerforming.DisplayName,,,,,,,
OrgPerforming.AddressLine,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PractitionerUUID,Fact,,,,,,
PractitionerDisplayName,Fact,,,,,,
RequestingPractitioner,Fact,,,,,,
CollectingPractitioner,,,,,,,
PerformingPractitioner,,,,,,,
PracititionerCode,Fact,,,,,,
